keys,en,ja
STR_UNKNOWN,Unknown,不明
STR_MENU_SUBTITLE,Unofficial Godzilla tcg sim,非公式ゴジラTCGシム
STR_MENU_PLAY_SELF,Solo v Self,ソロ対自分
STR_MENU_PLAY_BOT,Solo v Bot,ソロ対ボット
STR_MENU_LAN,LAN Multiplayer,LANマルチプレイ
STR_MENU_ONLINE,Online Multiplayer,オンラインマルチプレイ
STR_MENU_DECK_BUILDER,Deck Builder,デッキビルダー
STR_MENU_EXTRAS,Extras,その他
STR_MENU_OPTIONS,Options,設定
STR_MENU_UPDATE_AVAILABLE,Update Available,アップデートあり
STR_MENU_SOUND_FMT,Sound: {VAL},音量: {VAL}
STR_MENU_MUSIC_FMT,Music: {VAL},音楽: {VAL}
STR_VOL_OFF,OFF,オフ
STR_OPTIONS_TITLE,Options,設定
STR_OPTIONS_PLAYER_NAME,Player Name,プレイヤー名
STR_OPTIONS_NAME_PLACEHOLDER,Enter name...,名前を入力...
STR_OPTIONS_AUTOMATION,Automation...,自動化...
STR_OPTIONS_CUSTOMIZE,Customize...,カスタマイズ...
STR_OPTIONS_ADVANCED,Advanced...,詳細...
STR_OPTIONS_AUDIO,Audio...,オーディオ...
STR_OPTIONS_BACK,Back,戻る
STR_OPTIONS_LANGUAGE_FMT,Language: {LANG},言語: {LANG}
STR_LANG_EN,English,English
STR_LANG_JA,日本語,日本語
STR_TRAIT_KAIJU,Kaiju,
STR_TRAIT_MECHA,Mecha,
STR_TRAIT_ALIEN,Alien,
STR_TRAIT_MUTANT,Mutant,
STR_TRAIT_ANGUIRUS,Anguirus,
STR_TRAIT_BABY_GODZILLA,Baby Godzilla,
STR_TRAIT_BARAGON,Baragon,
STR_TRAIT_BATTRA,Battra,
STR_TRAIT_BIOLLANTE,Biollante,
STR_TRAIT_BOAT,Boat,
STR_TRAIT_CHIBI,Chibi,
STR_TRAIT_CHIBI_GODZILLA_RAIDS_AGAIN,Chibi Godzilla Raids Again,
STR_TRAIT_CITY,City,
STR_TRAIT_CRYSTAL,Crystal,
STR_TRAIT_DAGAHRA,Dagahra,
STR_TRAIT_DESGHIDORAH,Desghidorah,
STR_TRAIT_DESTOROYAH,Destoroyah,
STR_TRAIT_DORAT,Dorat,
STR_TRAIT_EBIRAH,Ebirah,
STR_TRAIT_FEST,Fest,
STR_TRAIT_FESTIVAL_GODZILLA,Festival Godzilla,
STR_TRAIT_FINAL_WARS,Final Wars,
STR_TRAIT_FOURTH_FORM,4th Form,
STR_TRAIT_GABARA,Gabara,
STR_TRAIT_GHIDORAH,Ghidorah,
STR_TRAIT_GHOGO,Ghogo,
STR_TRAIT_GIANT_CONDOR,Giant Condor,
STR_TRAIT_GIGAN,Gigan,
STR_TRAIT_GODZILLA,Godzilla,
STR_TRAIT_GODZILLASAURUS,Godzillasaurus,
STR_TRAIT_GODZILLA_JR,Godzilla Jr.,
STR_TRAIT_GOROSAURUS,Gorosaurus,
STR_TRAIT_HEDORAH,Hedorah,
STR_TRAIT_JET_JAGUAR,Jet Jaguar,
STR_TRAIT_KAMACURAS,Kamacuras,
STR_TRAIT_KING_CAESAR,King Caesar,
STR_TRAIT_KING_GHIDORAH,King Ghidorah,
STR_TRAIT_KUMONGA,Kumonga,
STR_TRAIT_LITTLE_GODZILLA,Little Godzilla,
STR_TRAIT_MANDA,Manda,
STR_TRAIT_MECH,Mech,
STR_TRAIT_MECHAGODZILLA,Mechagodzilla,
STR_TRAIT_MEGAGUIRUS,Megaguirus,
STR_TRAIT_MEGALON,Megalon,
STR_TRAIT_MEGANULA,Meganula,
STR_TRAIT_MINILLA,Minilla,
STR_TRAIT_MOGUERA,Moguera,
STR_TRAIT_MONSTER_X,Monster X,
STR_TRAIT_MOTHRA,Mothra,
STR_TRAIT_ORGA,Orga,
STR_TRAIT_RODAN,Rodan,
STR_TRAIT_SACRED_GUARDIAN_BEASTS,Sacred Guardian Beasts,
STR_TRAIT_SECOND_FORM,2nd Form,
STR_TRAIT_SPACEGODZILLA,SpaceGodzilla,
STR_TRAIT_SUPER_X,Super X,
STR_TRAIT_THIRD_FORM,3rd Form,
STR_TRAIT_TITANOSAURUS,Titanosaurus,
STR_TRAIT_TOKEN,Token,
STR_TRAIT_TWENTY_THIRD_CENTURY,23rd century,
STR_TRAIT_VARAN,Varan,
STR_TRAIT_WEAPON,Weapon,
STR_TRAIT_ZILLA,Zilla,
STR_TRAIT_GODZILLA_EARTH,Godzilla Earth,
STR_TRAIT_HIGHER_DIMENSIONAL,Higher Dimensional,
STR_TRAIT_TENTACLE,Tentacle,
STR_TRAIT_VALKYRIE,Valkyrie,
STR_TRAIT_KAISER_GHIDORAH,Kaiser Ghidorah,
STR_TRAIT_SANDA,Sanda,
STR_TRAIT_GAIRA,Gaira,
STR_TRAIT_GEZORA,Gezora,
STR_TRAIT_GANIMES,Ganimes,
STR_TRAIT_KAMOEBAS,Kamoebas,
STR_TRAIT_SERVUM,Servum,
STR_COLOR_RED,Red,
STR_COLOR_BLUE,Blue,
STR_COLOR_WHITE,White,
STR_COLOR_GREEN,Green,
STR_TYPE_MONSTER,Monster,
STR_TYPE_BATTLE,Battle,
STR_TYPE_STRATEGY,Strategy,
STR_PHASE_START,Start Phase,
STR_PHASE_MAIN,Main Phase,
STR_PHASE_COUNTER,Counter Phase,
STR_PHASE_END,End Phase,
STR_PB_THREAT,Threat:,脅威:
STR_PB_THREAT_SHORT,T:,脅:
STR_PB_RAGE_ZONE,Rage Zone,怒りゾーン
STR_PB_CP,CP:,CP:
STR_PB_DISCARD,Discard,捨て札
STR_GB_TURN_FMT,Turn: {N},ターン: {N}
STR_GB_TURN_HEADER_FMT,Turn {N} | {PLAYER} - {PHASE},ターン {N} | {PLAYER} - {PHASE}
STR_GB_PHASE_SUB_RESOLVE_EFFECTS,"      Resolve Effects","      効果解決"
STR_GB_PHASE_SUB_DRAW_CARDS,"      Draw Cards","      ドロー"
